casId	SMILES	Tier of FCCprio	inFCCdb	inFCCmigex	canonical_SMILES	original_SMILES
117-81-7	CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC	Tier I	True	True	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC	CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC
84-74-2	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	Tier I	True	True	CCCCOC(=O)c1ccccc1C(=O)OCCCC	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
80-05-7	CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	Tier I	True	True	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
84-69-5	CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C	Tier I	True	True	CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C	CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
7439-92-1	[PbH2]	Tier I	True	True	[PbH2]	[PbH2]
103-23-1	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	Tier II	True	True	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
84-66-2	CCOC(=O)C1=CC=CC=C1C(=O)OCC	Tier I	True	True	CCOC(=O)c1ccccc1C(=O)OCC	CCOC(=O)C1=CC=CC=C1C(=O)OCC
119-61-9	O=C(C1=CC=CC=C1)C1=CC=CC=C1	Tier I	True	True	O=C(c1ccccc1)c1ccccc1	O=C(C1=CC=CC=C1)C1=CC=CC=C1
96-76-4	CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C	Tier II	True	True	CC(C)(C)c1ccc(O)c(C(C)(C)C)c1	CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C
128-37-0	CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Tier II	True	True	Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
7440-47-3	[Cr]	Tier I	True	True	[Cr]	[Cr]
77-90-7	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC	Tier II	True	True	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
31570-04-4	CC(C)(C)C1=CC(=C(OP(OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C	Tier II	True	True	CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1	CC(C)(C)C1=CC(=C(OP(OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)OC2=CC=C(C=C2C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C
7440-43-9	[Cd]	Tier I	True	True	[Cd]	[Cd]
100-42-5	C=CC1=CC=CC=C1	Tier I	True	True	C=Cc1ccccc1	C=CC1=CC=CC=C1
85-68-7	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1	Tier I	True	True	CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1
112-84-5	CCCCCCCC\C=C/CCCCCCCCCCCC(N)=O	Tier II	True	True	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	CCCCCCCC\C=C/CCCCCCCCCCCC(N)=O
7440-02-0	[Ni]	Tier I	True	True	[Ni]	[Ni]
7429-90-5	[Al]	Tier II	True	True	[Al]	[Al]
7440-66-6	[Zn]	Tier I	True	True	[Zn]	[Zn]
57-10-3	CCCCCCCCCCCCCCCC(O)=O	Tier II	True	True	CCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCC(O)=O
105-60-2	O=C1CCCCCN1	Tier II	True	True	O=C1CCCCCN1	O=C1CCCCCN1
7439-89-6	[Fe]	Tier II	True	True	[Fe]	[Fe]
7439-96-5	[Mn]	Tier I	True	True	[Mn]	[Mn]
2082-79-3	CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Tier II	True	True	CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
7440-36-0	[Sb]	Tier I	True	True	[Sb]	[Sb]
124-19-6	CCCCCCCCC=O	Tier I	True	True	CCCCCCCCC=O	CCCCCCCCC=O
131-11-3	COC(=O)C1=C(C=CC=C1)C(=O)OC	Tier I	True	True	COC(=O)c1ccccc1C(=O)OC	COC(=O)C1=C(C=CC=C1)C(=O)OC
7440-50-8	[Cu]	Tier I	True	True	[Cu]	[Cu]
301-02-0	CCCCCCCC\C=C/CCCCCCCC(N)=O	Tier II	True	True	CCCCCCCC/C=C\CCCCCCCC(N)=O	CCCCCCCC\C=C/CCCCCCCC(N)=O
335-67-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	True	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
719-22-2	CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C	Tier II	False	True	CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O	CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C
104-76-7	CCCCC(CC)CO	Tier II	True	True	CCCCC(CC)CO	CCCCC(CC)CO
108-88-3	CC1=CC=CC=C1	Tier I	True	True	Cc1ccccc1	CC1=CC=CC=C1
307-24-4	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
95906-11-9	CC(C)(C)C1=CC(=C(OP(=O)(OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C	Tier II	True	True	CC(C)(C)c1ccc(OP(=O)(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1	CC(C)(C)C1=CC(=C(OP(=O)(OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)C=C1)C(C)(C)C
544-76-3	CCCCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCC
57-11-4	CCCCCCCCCCCCCCCCCC(O)=O	Tier II	True	True	CCCCCCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCCCCCC(O)=O
66-25-1	CCCCCC=O	Tier I	True	True	CCCCCC=O	CCCCCC=O
124-13-0	CCCCCCCC=O	Tier I	True	True	CCCCCCCC=O	CCCCCCCC=O
7440-48-4	[Co]	Tier I	True	True	[Co]	[Co]
6683-19-8	CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C	Tier II	True	True	CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O	CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
375-85-9	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
335-76-2	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
98-86-2	CC(=O)C1=CC=CC=C1	Tier II	True	True	CC(=O)c1ccccc1	CC(=O)C1=CC=CC=C1
629-59-4	CCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCC	CCCCCCCCCCCCCC
117-84-0	CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC	Tier I	True	True	CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC	CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC
100-52-7	O=CC1=CC=CC=C1	Tier I	True	True	O=Cc1ccccc1	O=CC1=CC=CC=C1
50-00-0	C=O	Tier I	True	True	C=O	C=O
82304-66-3	CC(C)(C)C1=CC2(CCC(=O)O2)C=C(C1=O)C(C)(C)C	Tier II	False	True	CC(C)(C)C1=CC2(C=C(C(C)(C)C)C1=O)CCC(=O)O2	CC(C)(C)C1=CC2(CCC(=O)O2)C=C(C1=O)C(C)(C)C
593-45-3	CCCCCCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCC
307-55-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
112-31-2	CCCCCCCCCC=O	Tier I	True	True	CCCCCCCCCC=O	CCCCCCCCCC=O
100-41-4	CCC1=CC=CC=C1	Tier I	True	True	CCc1ccccc1	CCC1=CC=CC=C1
91-20-3	C1=CC2=CC=CC=C2C=C1	Tier I	True	True	c1ccc2ccccc2c1	C1=CC2=CC=CC=C2C=C1
1620-98-0	CC(C)(C)C1=CC(C=O)=CC(=C1O)C(C)(C)C	Tier II	False	True	CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O	CC(C)(C)C1=CC(C=O)=CC(=C1O)C(C)(C)C
21245-02-3	CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C	Tier II	True	True	CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1	CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C
112-39-0	CCCCCCCCCCCCCCCC(=O)OC	Tier II	True	True	CCCCCCCCCCCCCCCC(=O)OC	CCCCCCCCCCCCCCCC(=O)OC
2058-94-8	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
112-40-3	CCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCC	CCCCCCCCCCCC
375-95-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375-22-4	OC(=O)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)F
7440-38-2	[As]	Tier I	True	True	[As]	[As]
2706-90-3	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
109-43-3	CCCCOC(=O)CCCCCCCCC(=O)OCCCC	Tier II	True	True	CCCCOC(=O)CCCCCCCCC(=O)OCCCC	CCCCOC(=O)CCCCCCCCC(=O)OCCCC
10287-53-3	CCOC(=O)C1=CC=C(C=C1)N(C)C	Tier II	True	True	CCOC(=O)c1ccc(N(C)C)cc1	CCOC(=O)C1=CC=C(C=C1)N(C)C
7440-39-3	[Ba]	Tier II	True	True	[Ba]	[Ba]
102-76-1	CC(=O)OCC(COC(C)=O)OC(C)=O	Tier II	True	True	CC(=O)OCC(COC(C)=O)OC(C)=O	CC(=O)OCC(COC(C)=O)OC(C)=O
1675-54-3	CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1	Tier II	True	True	CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1	CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1
629-78-7	CCCCCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCC
62-53-3	NC1=CC=CC=C1	Tier II	True	True	Nc1ccccc1	NC1=CC=CC=C1
108-78-1	NC1=NC(N)=NC(N)=N1	Tier II	True	True	Nc1nc(N)nc(N)n1	NC1=NC(N)=NC(N)=N1
65-85-0	OC(=O)C1=CC=CC=C1	Tier II	True	True	O=C(O)c1ccccc1	OC(=O)C1=CC=CC=C1
947-19-3	OC1(CCCCC1)C(=O)C1=CC=CC=C1	Tier II	True	True	O=C(c1ccccc1)C1(O)CCCCC1	OC1(CCCCC1)C(=O)C1=CC=CC=C1
629-62-9	CCCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCCC	CCCCCCCCCCCCCCC
6386-38-5	COC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Tier II	True	True	COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	COC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
24157-81-1	CC(C)C1=CC2=C(C=C1)C=C(C=C2)C(C)C	Tier II	False	True	CC(C)c1ccc2cc(C(C)C)ccc2c1	CC(C)C1=CC2=C(C=C1)C=C(C=C2)C(C)C
64-19-7	CC(O)=O	Tier II	True	True	CC(=O)O	CC(O)=O
111-71-7	CCCCCCC=O	Tier I	True	True	CCCCCCC=O	CCCCCCC=O
112-80-1	CCCCCCCC\C=C/CCCCCCCC(O)=O	Tier II	True	True	CCCCCCCC/C=C\CCCCCCCC(=O)O	CCCCCCCC\C=C/CCCCCCCC(O)=O
124-26-5	CCCCCCCCCCCCCCCCCC(N)=O	Tier II	True	True	CCCCCCCCCCCCCCCCCC(N)=O	CCCCCCCCCCCCCCCCCC(N)=O
629-92-5	CCCCCCCCCCCCCCCCCCC	Tier II	False	True	CCCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCCC
112-95-8	CCCCCCCCCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCCCC
101-77-9	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1	Tier I	True	True	Nc1ccc(Cc2ccc(N)cc2)cc1	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
84-61-7	O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1	Tier I	True	True	O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1	O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1
143-07-7	CCCCCCCCCCCC(O)=O	Tier II	True	True	CCCCCCCCCCCC(=O)O	CCCCCCCCCCCC(O)=O
629-50-5	CCCCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCCCC	CCCCCCCCCCCCC
628-97-7	CCCCCCCCCCCCCCCC(=O)OCC	Tier II	True	True	CCCCCCCCCCCCCCCC(=O)OCC	CCCCCCCCCCCCCCCC(=O)OCC
629-94-7	CCCCCCCCCCCCCCCCCCCCC	Tier II	False	True	CCCCCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCCCCC
376-06-7	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier II	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1763-23-1	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6846-50-0	CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C	Tier I	True	True	CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C	CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
112-05-0	CCCCCCCCC(O)=O	Tier II	True	True	CCCCCCCCC(=O)O	CCCCCCCCC(O)=O
1120-21-4	CCCCCCCCCCC	Tier II	True	True	CCCCCCCCCCC	CCCCCCCCCCC
112-34-5	CCCCOCCOCCO	Tier II	True	True	CCCCOCCOCCO	CCCCOCCOCCO
115-86-6	O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1	Tier I	True	True	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1
7440-22-4	[Ag]	Tier I	True	True	[Ag]	[Ag]
111-02-4	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C	Tier II	False	True	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
106-42-3	CC1=CC=C(C)C=C1	Tier II	True	True	Cc1ccc(C)cc1	CC1=CC=C(C)C=C1
544-63-8	CCCCCCCCCCCCCC(O)=O	Tier II	True	True	CCCCCCCCCCCCCC(=O)O	CCCCCCCCCCCCCC(O)=O
72629-94-8	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Tier I	False	True	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
80-09-1	OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1	Tier I	True	True	O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1	OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1
75-07-0	CC=O	Tier II	True	True	CC=O	CC=O
112-54-9	CCCCCCCCCCCC=O	Tier II	True	True	CCCCCCCCCCCC=O	CCCCCCCCCCCC=O
110-27-0	CCCCCCCCCCCCCC(=O)OC(C)C	Tier II	True	True	CCCCCCCCCCCCCC(=O)OC(C)C	CCCCCCCCCCCCCC(=O)OC(C)C
629-54-9	CCCCCCCCCCCCCCCC(N)=O	Tier II	True	True	CCCCCCCCCCCCCCCC(N)=O	CCCCCCCCCCCCCCCC(N)=O
629-97-0	CCCCCCCCCCCCCCCCCCCCCC	Tier II	False	True	CCCCCCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCCCCCC
1235-74-1	COC(=O)C1(C)CCCC2(C)C1CCC1=C2C=CC(=C1)C(C)C	Tier II	False	True	COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)cc3CCC12	COC(=O)C1(C)CCCC2(C)C1CCC1=C2C=CC(=C1)C(C)C
2128-93-0	O=C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1	Tier II	True	True	O=C(c1ccccc1)c1ccc(-c2ccccc2)cc1	O=C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
7441-32-9	O=C1OCCOC(=O)C2=CC=C(C=C2)C(=O)OCCOC(=O)C2=CC=C(C=C2)C(=O)OCCOC(=O)C2=CC=C1C=C2	Tier II	False	True	O=C1OCCOC(=O)c2ccc(cc2)C(=O)OCCOC(=O)c2ccc(cc2)C(=O)OCCOC(=O)c2ccc1cc2	O=C1OCCOC(=O)C2=CC=C(C=C2)C(=O)OCCOC(=O)C2=CC=C(C=C2)C(=O)OCCOC(=O)C2=CC=C1C=C2
67-64-1	CC(C)=O	Tier II	True	True	CC(C)=O	CC(C)=O
5495-84-1	CC(C)C1=CC2=C(SC3=C(C=CC=C3)C2=O)C=C1	Tier II	True	True	CC(C)c1ccc2sc3ccccc3c(=O)c2c1	CC(C)C1=CC2=C(SC3=C(C=CC=C3)C2=O)C=C1
646-31-1	CCCCCCCCCCCCCCCCCCCCCCCC	Tier II	False	True	CCCCCCCCCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCCCCCCCC
1740-19-8	[H][C@@]12CCC3=C(C=CC(=C3)C(C)C)[C@@]1(C)CCC[C@@]2(C)C(O)=O	Tier II	True	True	CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C	[H][C@@]12CCC3=C(C=CC(=C3)C(C)C)[C@@]1(C)CCC[C@@]2(C)C(O)=O
7440-31-5	[Sn]	Tier I	True	True	[Sn]	[Sn]
7440-32-6	[Ti]	Tier II	True	True	[Ti]	[Ti]
134-84-9	CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1	Tier II	True	True	Cc1ccc(C(=O)c2ccccc2)cc1	CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1
103-11-7	CCCCC(CC)COC(=O)C=C	Tier II	True	True	C=CC(=O)OCC(CC)CCCC	CCCCC(CC)COC(=O)C=C
7568-58-3	CCCCOC(=O)CC(=CC(=O)OCCCC)C(=O)OCCCC	Tier II	False	True	CCCCOC(=O)C=C(CC(=O)OCCCC)C(=O)OCCCC	CCCCOC(=O)CC(=CC(=O)OCCCC)C(=O)OCCCC
141-78-6	CCOC(C)=O	Tier II	True	True	CCOC(C)=O	CCOC(C)=O
56403-09-9	O=C1CCCCCNC(=O)CCCCCN1	Tier II	False	True	O=C1CCCCCNC(=O)CCCCCN1	O=C1CCCCCNC(=O)CCCCCN1
5834-63-9	O=C1CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCN1	Tier II	False	True	O=C1CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCN1	O=C1CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCN1
